Model,Info,Optimizer,Alpha,Seeds,Num runs,final_val_accuracy_mean,final_val_accuracy_std,final_val_loss_mean,final_val_loss_std,best_val_accuracy_mean,best_val_accuracy_std,best_val_loss_mean,best_val_loss_std
resnet34,,fosgdmr,0.999,0 1 2,3,94.34666667,0.05557777334,0.2501424646,0.006956931733,94.37333333,0.0531245915,0.2486116196,0.00702704255
resnet34,,fosgdmr,1.001,0 1 2,3,94.18333333,0.07363574011,0.257868133,0.003514644978,94.29,0.09273618495,0.2560665548,0.003402360744
resnet34,,fosgdmr,"[0.8, 0.999]",0 1 2,3,90.47333333,0.2948822741,0.4833718929,0.02875257077,90.57,0.2535087112,0.4446776036,0.01708346948
resnet34,,fosgdmr,"[0.9, 0.999]",0 1 2,3,92.84,0.151217283,0.3296724738,0.001907330465,92.91,0.1186029792,0.3285008367,0.001577559104
resnet34,,fosgdmr,"[0.99, 0.999]",0 1 2,3,94.15333333,0.03299831646,0.2576336493,0.001325663731,94.17666667,0.01247219129,0.2550178469,0.001231299129
resnet34,Algorithm 1,fosgdr,0.9,0 1 2,3,92.37666667,0.2819377394,0.3567498198,0.00685500136,92.54,0.2412467616,0.3542310079,0.00703311835
resnet34,,fosgdr,0.99,0 1 2,3,94.4,0.120277457,0.257961502,0.001707751353,94.49,0.1232882801,0.2563186123,0.001368448356
resnet34,,fosgdr,0.999,0 1 2,3,94.48666667,0.1960158724,0.2499486361,0.00473884779,94.54333333,0.1517307557,0.2489131475,0.004754827013
resnet34,,fosgdr,1.001,0 1 2,3,94.49,0.1496662955,0.2485603147,0.009978352437,94.55,0.1951068084,0.2467587347,0.01040563443
resnet34,,fosgdr,1.01,0 1 2,3,94.63333333,0.1506283137,0.2474430684,0.001703988731,94.69,0.160623784,0.2468194266,0.001661303746
resnet34,,fosgdr,1.1,0 1 2,3,95.12666667,0.04496912521,0.2130087318,0.003287191029,95.2,0.008164965809,0.2104620513,0.002492847017
resnet34,SGD,sgd,,0 1 2,3,92.95666667,0.1132352517,0.4938297869,0.0202851001,93.07333333,0.1178511302,0.348877342,0.01653838482
resnet34,,sgdm,,0 1 2,3,95.46,0.05715476066,0.1854364824,0.00178185778,95.54,0.03559026084,0.1848707856,0.001209921991
